Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Baroque Pearl Bracelet,baroque-pearl-bracelet,"<p>Baroque freshwater pearl with 925 silver spacers. Metal governs what survives the fracture.</p><p>Blessed at Putuo Mountain before it reaches you. Each order includes a personal blessing certificate: your name, your stone, and the date it was carried to the mountain.</p>",Noah Elements,Apparel & Accessories > Jewelry,Bracelet,"Metal, Bracelet, Five Elements",TRUE,Active,NE-METAL-BR-7977,,Title,Default Title,,,,,,,,128,,,TRUE,,,,,,shopify,5,DENY,35,g,TRUE,manual,"https://res.cloudinary.com/dkpx98xr8/image/upload/f_auto,q_auto/noah/products/baroque-pearl-bracelet",1,Baroque Pearl Bracelet,,FALSE,Baroque Pearl Bracelet · Noah Elements,"Baroque freshwater pearl with 925 silver spacers. Blessed at Putuo Mountain, with a personal blessing certificate.",,,,,,,,New,,,,,,
Carnelian Antler Talisman,carnelian-antler-talisman,"<p>Carnelian with antler and black waxed cord. Fire governs what transforms us, and what remains after the burn.</p><p>Blessed at Putuo Mountain before it reaches you. Each order includes a personal blessing certificate: your name, your stone, and the date it was carried to the mountain.</p>",Noah Elements,Apparel & Accessories > Jewelry,Antler Talisman,"Fire, Antler Talisman, Five Elements",TRUE,Active,NE-FIRE-TAL-8002,,Title,Default Title,,,,,,,,488,,,TRUE,,,,,,shopify,5,DENY,130,g,TRUE,manual,"https://res.cloudinary.com/dkpx98xr8/image/upload/f_auto,q_auto/noah/products/carnelian-antler-talisman",1,Carnelian Antler Talisman,,FALSE,Carnelian Antler Talisman · Noah Elements,"Carnelian with antler and black waxed cord. Blessed at Putuo Mountain, with a personal blessing certificate.",,,,,,,,New,,,,,,
Orange Strawberry Quartz Antler (Curved),orange-strawberry-quartz-antler-curved,"<p>Orange strawberry quartz set on a curved antler. Fire governs what transforms us, and what remains after the burn.</p><p>Blessed at Putuo Mountain before it reaches you. Each order includes a personal blessing certificate: your name, your stone, and the date it was carried to the mountain.</p>",Noah Elements,Apparel & Accessories > Jewelry,Antler Talisman,"Fire, Antler Talisman, Five Elements",TRUE,Active,NE-FIRE-TAL-8004,,Title,Default Title,,,,,,,,488,,,TRUE,,,,,,shopify,5,DENY,130,g,TRUE,manual,"https://res.cloudinary.com/dkpx98xr8/image/upload/f_auto,q_auto/noah/products/orange-strawberry-quartz-antler-curved",1,Orange Strawberry Quartz Antler (Curved),,FALSE,Orange Strawberry Quartz Antler (Curved) · Noah Elements,"Orange strawberry quartz set on a curved antler. Blessed at Putuo Mountain, with a personal blessing certificate.",,,,,,,,New,,,,,,
Orange Strawberry Quartz Antler (Short),orange-strawberry-quartz-antler-short,"<p>Orange strawberry quartz set on a short antler. Fire governs what transforms us, and what remains after the burn.</p><p>Blessed at Putuo Mountain before it reaches you. Each order includes a personal blessing certificate: your name, your stone, and the date it was carried to the mountain.</p>",Noah Elements,Apparel & Accessories > Jewelry,Antler Talisman,"Fire, Antler Talisman, Five Elements",TRUE,Active,NE-FIRE-TAL-8005,,Title,Default Title,,,,,,,,488,,,TRUE,,,,,,shopify,5,DENY,130,g,TRUE,manual,"https://res.cloudinary.com/dkpx98xr8/image/upload/f_auto,q_auto/noah/products/orange-strawberry-quartz-antler-short",1,Orange Strawberry Quartz Antler (Short),,FALSE,Orange Strawberry Quartz Antler (Short) · Noah Elements,"Orange strawberry quartz set on a short antler. Blessed at Putuo Mountain, with a personal blessing certificate.",,,,,,,,New,,,,,,
Citrine Antler Talisman,citrine-antler-talisman,"<p>Citrine with antler and black waxed cord. Earth governs what holds you when everything else is shifting.</p><p>Blessed at Putuo Mountain before it reaches you. Each order includes a personal blessing certificate: your name, your stone, and the date it was carried to the mountain.</p>",Noah Elements,Apparel & Accessories > Jewelry,Antler Talisman,"Earth, Antler Talisman, Five Elements",TRUE,Active,NE-EARTH-TAL-8007,,Title,Default Title,,,,,,,,488,,,TRUE,,,,,,shopify,5,DENY,130,g,TRUE,manual,"https://res.cloudinary.com/dkpx98xr8/image/upload/f_auto,q_auto/noah/products/citrine-antler-talisman",1,Citrine Antler Talisman,,FALSE,Citrine Antler Talisman · Noah Elements,"Citrine with antler and black waxed cord. Blessed at Putuo Mountain, with a personal blessing certificate.",,,,,,,,New,,,,,,
Carnelian 108 Mala,carnelian-108-mala,"<p>Carnelian with turquoise, a grey agate guru bead and an amber tassel. Fire governs what transforms us, and what remains after the burn.</p><p>Blessed at Putuo Mountain before it reaches you. Each order includes a personal blessing certificate: your name, your stone, and the date it was carried to the mountain.</p>",Noah Elements,Apparel & Accessories > Jewelry,108 Mala,"Fire, 108 Mala, Five Elements",TRUE,Active,NE-FIRE-MA-8120,,Title,Default Title,,,,,,,,288,,,TRUE,,,,,,shopify,5,DENY,90,g,TRUE,manual,"https://res.cloudinary.com/dkpx98xr8/image/upload/f_auto,q_auto/noah/products/carnelian-108-mala",1,Carnelian 108 Mala,,FALSE,Carnelian 108 Mala · Noah Elements,"Carnelian with turquoise, a grey agate guru bead and an amber tassel. Blessed at Putuo Mountain, with a personal blessing certificate.",,,,,,,,New,,,,,,
Yellow Jade 108 Mala,yellow-jade-108-mala,"<p>Yellow jade with agarwood and amber. Earth governs what holds you when everything else is shifting.</p><p>Blessed at Putuo Mountain before it reaches you. Each order includes a personal blessing certificate: your name, your stone, and the date it was carried to the mountain.</p>",Noah Elements,Apparel & Accessories > Jewelry,108 Mala,"Earth, 108 Mala, Five Elements",TRUE,Active,NE-EARTH-MA-8122,,Title,Default Title,,,,,,,,288,,,TRUE,,,,,,shopify,5,DENY,90,g,TRUE,manual,"https://res.cloudinary.com/dkpx98xr8/image/upload/f_auto,q_auto/noah/products/yellow-jade-108-mala",1,Yellow Jade 108 Mala,,FALSE,Yellow Jade 108 Mala · Noah Elements,"Yellow jade with agarwood and amber. Blessed at Putuo Mountain, with a personal blessing certificate.",,,,,,,,New,,,,,,
White Pearl Liuli Necklace,white-pearl-liuli-necklace,"<p>White pearl with moonstone, handmade liuli glass and gold fittings. Water governs the depth that grief lives in.</p><p>Blessed at Putuo Mountain before it reaches you. Each order includes a personal blessing certificate: your name, your stone, and the date it was carried to the mountain.</p>",Noah Elements,Apparel & Accessories > Jewelry,Liuli Necklace,"Water, Liuli Necklace, Five Elements",TRUE,Active,NE-WATER-NK-8130,,Title,Default Title,,,,,,,,228,,,TRUE,,,,,,shopify,5,DENY,65,g,TRUE,manual,"https://res.cloudinary.com/dkpx98xr8/image/upload/f_auto,q_auto/noah/products/white-pearl-liuli-necklace",1,White Pearl Liuli Necklace,,FALSE,White Pearl Liuli Necklace · Noah Elements,"White pearl with moonstone, handmade liuli glass and gold fittings. Blessed at Putuo Mountain, with a personal blessing certificate.",,,,,,,,New,,,,,,
Smoky Quartz Liuli Necklace,smoky-quartz-liuli-necklace,"<p>Smoky quartz with amber liuli glass and agarwood. Earth governs what holds you when everything else is shifting.</p><p>Blessed at Putuo Mountain before it reaches you. Each order includes a personal blessing certificate: your name, your stone, and the date it was carried to the mountain.</p>",Noah Elements,Apparel & Accessories > Jewelry,Liuli Necklace,"Earth, Liuli Necklace, Five Elements",TRUE,Active,NE-EARTH-NK-8131,,Title,Default Title,,,,,,,,228,,,TRUE,,,,,,shopify,5,DENY,65,g,TRUE,manual,"https://res.cloudinary.com/dkpx98xr8/image/upload/f_auto,q_auto/noah/products/smoky-quartz-liuli-necklace",1,Smoky Quartz Liuli Necklace,,FALSE,Smoky Quartz Liuli Necklace · Noah Elements,"Smoky quartz with amber liuli glass and agarwood. Blessed at Putuo Mountain, with a personal blessing certificate.",,,,,,,,New,,,,,,
Cinnabar Red Agate Liuli Necklace,cinnabar-red-agate-liuli-necklace,"<p>Red agate with cinnabar-red handmade liuli glass. Fire governs what transforms us, and what remains after the burn.</p><p>Blessed at Putuo Mountain before it reaches you. Each order includes a personal blessing certificate: your name, your stone, and the date it was carried to the mountain.</p>",Noah Elements,Apparel & Accessories > Jewelry,Liuli Necklace,"Fire, Liuli Necklace, Five Elements",TRUE,Active,NE-FIRE-NK-8132,,Title,Default Title,,,,,,,,228,,,TRUE,,,,,,shopify,5,DENY,65,g,TRUE,manual,"https://res.cloudinary.com/dkpx98xr8/image/upload/f_auto,q_auto/noah/products/cinnabar-red-agate-liuli-necklace",1,Cinnabar Red Agate Liuli Necklace,,FALSE,Cinnabar Red Agate Liuli Necklace · Noah Elements,"Red agate with cinnabar-red handmade liuli glass. Blessed at Putuo Mountain, with a personal blessing certificate.",,,,,,,,New,,,,,,
